B_IND,VALID[0],DIRTY[0],TAG[0],LRU[0],VALID[1],DIRTY[1],TAG[1],LRU[1],VALID[2],DIRTY[2],TAG[2],LRU[2],VALID[3],DIRTY[3],TAG[3],LRU[3]
B[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[1],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[2],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[3],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[4],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[5],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[6],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[7],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[8],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[9],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[10],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[11],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[12],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[13],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[14],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[15],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[16],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[17],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[18],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[19],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[20],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[21],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[22],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[23],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[24],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[25],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[26],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[27],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[28],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[29],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[30],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[31],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[32],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[33],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[34],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[35],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[36],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[37],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[38],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[39],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[40],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[41],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[42],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[43],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[44],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[45],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[46],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[47],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[48],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[49],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[50],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[51],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[52],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[53],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[54],1,0,1633,151,1,0,1637,302,1,0,1641,453,1,0,1645,604
B[55],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[56],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[57],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[58],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[59],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[60],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[61],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[62],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B[63],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
